FundName;Isin;DistributionRoaFee
BlackRock Global World Technology (A2);LU0056508442;0.3
FTGF Brandywine Global High Yield Fund (A);IE00BBM55T37;0.38
PIMCO GIS Income (E);IE00B7KFL990;0.33
Wellington Global Quality Growth (D);LU1084869962;0.38
Morgan Stanley Global Opportunity (A);LU0552385295;0.44
Morgan Stanley INVF Global Asset Backed Securities (A);LU0858068074;0.28
JP Morgan Global High Yield Bond (A);LU0344579056;0.25
JP Morgan US Growth (A);LU0210536198;0.35
JP Morgan Income Opportunities (A);LU0323456466;0.25
BlackRock Global World Healthscience (A2);LU0122379950;0.3
JP Morgan US Select Equity Plus (A);LU0292454872;0.35
AB Select US Equity (A);LU0683600562;0.38
Wellington Enduring Assets (D);IE00BH3VJH87;0.38
FTGF Franklin Ultra Short Duration Income (AX);IE0000KQO741;0.25
BlackRock Global Allocation (A2);LU0072462426;0.3
JP Morgan Global Balanced (A);LU0957039414;0.35
JP Morgan Aggregate Bonds (A);LU0430493139;0.25
Wellington Asia Technology (D);LU1751454437;0.45
JP Emerging Market Equities (A);LU0210529656;0.35
PIMCO GIS US Short Term (E);IE00BMTRX064;0.19
JP Morgan Global Bond Opportunities (A);LU0867954264;0.25
Neuberger Berman Emerging Markets Debt (A);IE00B986J944;0.35
BlackRock Fixed Income Global Opportunities (A2);LU0278466700;0.2
Schroder Selection Global (A);LU0557290698;0.33
Schroder China (A);LU1713307426;0.38
JP Morgan Global Dividend (A);LU0329201957;0.35
MFS Meridian Emerging Markets Debt (A1);LU0125948108;0.25
Wellington Opportunistic Fixed Income (D);IE00BD960100;0.0
Franklin India (A);LU0231203729;0.25
JP Morgan Global Macro Opportunities (A);LU1181866309;0.35
Morgan Stanley Short Duration Bonds (A);LU1387591990;0.13
Neuberger Berman Short Duration Emerging Debt (A);IE00BDZRXR46;0.25
Schroder GAIA WellingtonPagosa (A);LU1732474868;0.38
Janus Henderson Global Real Estate Equity Income (A2);IE0033534557;0.38
BlackRock Strategic Funds Global Event Driven (A2);LU1251620883;0.28
JP Morgan Europe Equity (A);LU1048652678;0.35
JP Morgan America Equity (A);LU0210528500;0.35
JP Morgan Global Strategy Bonds (A);LU0514679140;0.25
JP Morgan Standard Money Market (A);LU0011815304;0.1
Schroder Selection Global Equities (A);LU0215105999;0.31
Morgan Stanley Asia Opportunities (A);LU1378878430;0.44
Wellington Strategic European Equities (D);IE00B839Y076;0.04
Wellington All China Equities (D);IE00BK5STP66;0.48
Neuberger Berman Strategic Income (A);IE00B87L2R26;0.25
Lord Abbett Multi Sector Income (A);IE00BS7K0Z35;0.25
PIMCO GIS Global Bonds (E);IE00B11XZ210;0.31
Wellington US Quality Growth (D);LU2305750965;0.04
Morgan Stanley Europe Opportunity (AH);LU1387591487;0.41
Morgan Stanley US Advantage (A);LU0225737302;0.39
FTGF ClearBridge US Large Cap Growth (A);IE00B19Z9505;0.25
JP Morgan Global Income (A);LU0762807625;0.35
BlackRock Emerging Markets Corporate Bonds (A2);LU0843229542;0.3
Morgan Stanley Global Brands (A);LU0119620416;0.44
MFS Meridian Prudent Capital (A1);LU1442548993;0.38
JP Morgan Income (A);LU1041599405;0.25
Morgan Stanley Global Fixed Income Opportunities (A);LU0694238766;0.28
AB Low Volatility Equity (A);LU0861579265;0.38
BlackRock Short Duration Bonds (A2);LU0154237225;0.15
Schroder GAIA Helix (A);LU1809995589;0.38
BlackRock Global US Flexible Equity (A2);LU0154236417;0.3
JP Morgan US Technology (A);LU0210536867;0.35
Lord Abbett High Yield (A);IE00BFNWYN85;0.25
MFS Global Equity (A1);LU0219441069;0.38
Schroder Selection US Large Caps (A);LU0106261372;0.31
PIMCO GIS Low Duration Income Fund (E);IE00BDT57T44;0.33
BlackRock Global Sustainable Energy (A2);LU0124384867;0.33
BlackRock US Dollar Reserve (A2);LU0006061419;0.25
Lord Abbett Short Duration Income (A);IE00BFNWXY26;0.25
Morgan Stanley Short Duration High Yield Bonds (A);LU1134225132;0.28
JP Morgan Japan Equities (A);LU0927678507;0.63
BSF Emerging Markets Short Duration Bond Fund (A2);LU1706559744;0.19
Schroder GAIA Contour Tech Equities (A);LU1725199209;0.38
JP Morgan US Select Equities (A);LU0070214290;0.35
AB American Income (A);LU0044957727;0.25
MFS Meridian Limited Maturity (A1);LU0219442893;0.2
PIMCO GIS Global High Yield Bonds (E);IE00B1D7YM41;0.33
Schroder GAIA BlueTrend (A);LU1293073232;0.3
Schroder International Selection Fund Global Credit Income (A);LU1737068558;0.28
AB American Growth (A);LU0079474960;0.38
PIMCO GIS US High Yield (E);IE00B11XZ871;0.33
Alma Electron Global Fund (A PF);LU2164518057;0.13
Janus Henderson Balanced (A2);IE0004445015;0.38
AB Short Duration High Yield (A2);LU0654559516;0.25
Franklin Templeton High Yield (A);LU0131126228;0.2
PIMCO Balanced Income and Growth Fund (E);IE00B4YYXB79;0.48
AB International Health Care (A);LU0058720904;0.38
Franklin Income (A);LU1162221912;0.25
JP Morgan Global Select Equity (A);LU0070217475;0.35
PIMCO GIS Capital Securities (E);IE00BFRSV866;0.38
